DeepMimic: obs=128 act=29 clip=261.3s  max_steps=13067
iter   56 | ep_len   50.2 | ep_ret    29.93 | pi -0.080 | v 1.907 | ent 30.75 | std 0.699
iter   57 | ep_len   53.8 | ep_ret    31.93 | pi -0.151 | v 1.702 | ent 30.84 | std 0.701
iter   58 | ep_len   55.1 | ep_ret    32.67 | pi -0.281 | v 1.673 | ent 30.96 | std 0.704
iter   59 | ep_len   53.2 | ep_ret    31.80 | pi -0.126 | v 2.316 | ent 31.06 | std 0.707
iter   60 | ep_len   50.6 | ep_ret    29.94 | pi -0.130 | v 1.917 | ent 31.18 | std 0.709
iter   61 | ep_len   49.0 | ep_ret    28.76 | pi -0.109 | v 1.482 | ent 31.28 | std 0.712
iter   62 | ep_len   55.5 | ep_ret    32.66 | pi -0.051 | v 1.481 | ent 31.38 | std 0.714
iter   63 | ep_len   52.5 | ep_ret    31.23 | pi -0.114 | v 1.805 | ent 31.49 | std 0.717
iter   64 | ep_len   59.7 | ep_ret    35.74 | pi -0.056 | v 2.014 | ent 31.55 | std 0.718
iter   65 | ep_len   58.0 | ep_ret    34.11 | pi -0.185 | v 1.969 | ent 31.61 | std 0.720
iter   66 | ep_len   50.9 | ep_ret    29.77 | pi -0.143 | v 1.428 | ent 31.71 | std 0.722
iter   67 | ep_len   50.9 | ep_ret    29.43 | pi -0.064 | v 1.545 | ent 31.85 | std 0.726
iter   68 | ep_len   57.1 | ep_ret    33.68 | pi -0.183 | v 1.661 | ent 31.93 | std 0.728
iter   69 | ep_len   55.1 | ep_ret    32.35 | pi -0.145 | v 2.120 | ent 32.04 | std 0.731
iter   70 | ep_len   56.7 | ep_ret    33.40 | pi -0.184 | v 2.445 | ent 32.16 | std 0.734
iter   71 | ep_len   51.7 | ep_ret    30.33 | pi -0.094 | v 2.062 | ent 32.23 | std 0.736
iter   72 | ep_len   49.1 | ep_ret    28.54 | pi -0.194 | v 1.215 | ent 32.32 | std 0.738
iter   73 | ep_len   53.4 | ep_ret    31.27 | pi -0.110 | v 1.699 | ent 32.42 | std 0.740
iter   74 | ep_len   56.0 | ep_ret    32.63 | pi -0.011 | v 1.707 | ent 32.49 | std 0.742
iter   75 | ep_len   51.1 | ep_ret    29.44 | pi -0.259 | v 1.412 | ent 32.55 | std 0.744
iter   76 | ep_len   55.7 | ep_ret    32.06 | pi -0.134 | v 1.344 | ent 32.67 | std 0.747
iter   77 | ep_len   52.4 | ep_ret    30.11 | pi -0.109 | v 1.539 | ent 32.78 | std 0.750
iter   78 | ep_len   48.9 | ep_ret    27.64 | pi -0.120 | v 1.269 | ent 32.88 | std 0.752
iter   79 | ep_len   55.1 | ep_ret    31.90 | pi -0.144 | v 1.450 | ent 32.96 | std 0.754
iter   80 | ep_len   54.3 | ep_ret    31.34 | pi -0.134 | v 1.525 | ent 33.06 | std 0.757
iter   81 | ep_len   51.9 | ep_ret    29.46 | pi -0.044 | v 1.470 | ent 33.19 | std 0.760
iter   82 | ep_len   50.4 | ep_ret    28.35 | pi -0.142 | v 1.386 | ent 33.29 | std 0.763
iter   83 | ep_len   51.7 | ep_ret    29.24 | pi -0.130 | v 1.731 | ent 33.39 | std 0.766
iter   84 | ep_len   54.5 | ep_ret    30.75 | pi -0.098 | v 1.726 | ent 33.51 | std 0.769
iter   85 | ep_len   53.0 | ep_ret    30.32 | pi -0.091 | v 1.885 | ent 33.62 | std 0.772
iter   86 | ep_len   53.8 | ep_ret    30.04 | pi -0.103 | v 1.035 | ent 33.71 | std 0.774
iter   87 | ep_len   50.0 | ep_ret    28.05 | pi -0.098 | v 1.097 | ent 33.80 | std 0.777
iter   88 | ep_len   52.4 | ep_ret    29.72 | pi -0.165 | v 0.919 | ent 33.93 | std 0.780
iter   89 | ep_len   51.7 | ep_ret    29.18 | pi -0.089 | v 1.589 | ent 34.04 | std 0.783
iter   90 | ep_len   54.5 | ep_ret    30.74 | pi -0.140 | v 1.383 | ent 34.11 | std 0.785
iter   91 | ep_len   52.6 | ep_ret    29.87 | pi -0.187 | v 1.357 | ent 34.18 | std 0.787
iter   92 | ep_len   52.6 | ep_ret    30.19 | pi -0.024 | v 1.684 | ent 34.27 | std 0.789
iter   93 | ep_len   49.1 | ep_ret    27.25 | pi -0.150 | v 1.428 | ent 34.39 | std 0.792
iter   94 | ep_len   56.3 | ep_ret    32.04 | pi -0.050 | v 1.940 | ent 34.47 | std 0.795
iter   95 | ep_len   54.1 | ep_ret    30.73 | pi -0.169 | v 1.553 | ent 34.57 | std 0.797
iter   96 | ep_len   52.2 | ep_ret    29.22 | pi -0.154 | v 2.178 | ent 34.67 | std 0.800
iter   97 | ep_len   52.7 | ep_ret    29.76 | pi -0.151 | v 1.289 | ent 34.75 | std 0.803
iter   98 | ep_len   52.1 | ep_ret    29.20 | pi -0.110 | v 1.599 | ent 34.86 | std 0.806
iter   99 | ep_len   49.2 | ep_ret    27.82 | pi -0.120 | v 0.919 | ent 35.00 | std 0.809
iter  100 | ep_len   56.8 | ep_ret    31.77 | pi -0.201 | v 1.076 | ent 35.11 | std 0.812
iter  101 | ep_len   50.9 | ep_ret    28.27 | pi -0.131 | v 1.129 | ent 35.21 | std 0.815
iter  102 | ep_len   52.5 | ep_ret    29.06 | pi -0.205 | v 1.508 | ent 35.32 | std 0.818
iter  103 | ep_len   50.4 | ep_ret    27.85 | pi -0.145 | v 1.310 | ent 35.42 | std 0.821
iter  104 | ep_len   51.0 | ep_ret    28.60 | pi -0.111 | v 1.199 | ent 35.54 | std 0.825
